FID,State_LGD,DISTRICT_L,District_1,STATE
405,15,261,AIZAWL,MIZORAM
406,1,2,BADGAM,JAMMU AND KASHMIR
407,1,623,BANDIPURA,JAMMU AND KASHMIR
408,1,626,GANDERBAL,JAMMU AND KASHMIR
409,1,622,KULGAM,JAMMU AND KASHMIR
410,1,8,KUPWARA,JAMMU AND KASHMIR
411,1,11,PULWAMA,JAMMU AND KASHMIR
412,1,12,RAJAURI,JAMMU AND KASHMIR
413,1,621,RAMBAN,JAMMU AND KASHMIR
414,1,627,RIASI,JAMMU AND KASHMIR
415,1,625,SHUPIYAN,JAMMU AND KASHMIR
416,1,13,SRINAGAR,JAMMU AND KASHMIR
417,37,9,LEH,LADAKH
418,37,6,KARGIL,LADAKH
419,1,620,KISHTWAR,JAMMU AND KASHMIR
420,1,4,DODA,JAMMU AND KASHMIR
421,1,624,SAMBA,JAMMU AND KASHMIR
422,14,255,IMPHAL EAST,MANIPUR
423,14,713,JIRIBAM,MANIPUR
424,23,722,NIVARI,MADHYA PRADESH
425,24,439,AMRELI,GUJARAT
426,38,464,DIU,DADRA NAGAR HAVELI DAMAN DIU
427,24,456,PORBANDAR,GUJARAT
428,24,457,RAJKOT,GUJARAT
429,24,460,SURENDRANAGAR,GUJARAT
430,24,676,BOTAD,GUJARAT
431,24,450,KHEDA,GUJARAT
432,24,451,MAHESANA,GUJARAT
433,24,446,GANDHINAGAR,GUJARAT
434,24,455,PATAN,GUJARAT
435,36,501,ADILABAD,TELANGANA
436,27,466,AHAMADNAGAR,MAHARASHTRA
437,27,467,AKOLA,MAHARASHTRA
438,19,664,ALIPUR DUAR,WEST BENGAL
439,27,468,AMARAVATI,MAHARASHTRA
440,6,58,AMBALA,HARYANA
441,3,27,AMRITSAR,PUNJAB
442,12,628,ANJAW,ARUNACHAL PRADESH
443,10,188,ARARIA,BIHAR
444,10,611,ARWAL,BIHAR
445,10,189,AURANGABAD,BIHAR
446,27,469,AURANGABAD,MAHARASHTRA
447,10,190,BANKA,BIHAR
448,19,305,BANKURA,WEST BENGAL
449,19,306,PURBA BARDDHAMAN,WEST BENGAL
450,3,605,BARNALA,PUNJAB
451,3,28,BATHINDA,PUNJAB
452,10,191,BEGUSARAI,BIHAR
453,10,200,KAIMUR,BIHAR
454,10,192,BHAGALPUR,BIHAR
455,27,471,BHANDARA,MAHARASHTRA
456,6,59,BHIWANI,HARYANA
457,10,193,BHOJPUR,BIHAR
458,27,470,BID,MAHARASHTRA
459,19,307,BIRBHUM,WEST BENGAL
460,27,472,BULDHANA,MAHARASHTRA
461,10,194,BUXAR,BIHAR
462,5,47,CHAMOLI,UTTARAKHAND
463,27,473,CHANDRAPUR,MAHARASHTRA
464,12,229,CHANGLANG,ARUNACHAL PRADESH
465,19,310,DAKSHIN DINAJPUR,WEST BENGAL
466,10,195,DARBHANGA,BIHAR
467,19,309,DARJILING,WEST BENGAL
468,27,474,DHULE,MAHARASHTRA
469,12,230,DIBANG VALLEY,ARUNACHAL PRADESH
470,13,613,PAREN,NAGALAND
471,12,231,EAST KAMENG,ARUNACHAL PRADESH
472,19,317,PURBA MEDINIPUR,WEST BENGAL
473,6,60,FARIDABAD,HARYANA
474,3,29,FARIDKOT,PUNJAB
475,6,61,FATEHABAD,HARYANA
476,3,30,FATEHGARH SAHIB,PUNJAB
477,3,651,FAZILKA,PUNJAB
478,3,31,FIROZPUR,PUNJAB
479,27,475,GADCHIROLI,MAHARASHTRA
480,10,196,GAYA,BIHAR
481,27,476,GONDIA,MAHARASHTRA
482,10,197,GOPALGANJ,BIHAR
483,3,32,GURDASPUR,PUNJAB
484,6,62,GURUGRAM,HARYANA
485,19,313,HAORA,WEST BENGAL
486,27,477,HINGOLI,MAHARASHTRA
487,6,63,HISAR,HARYANA
488,3,33,HOSHIARPUR,PUNJAB
489,19,312,HUGLI,WEST BENGAL
490,36,507,HYDERABAD,TELANGANA
491,10,199,JAHANABAD,BIHAR
492,3,34,JALANDHAR,PUNJAB
493,27,478,JALGAON,MAHARASHTRA
494,27,479,JALNA,MAHARASHTRA
495,19,314,JALPAIGURI,WEST BENGAL
496,10,198,JAMUI,BIHAR
497,6,64,JHAJJAR,HARYANA
498,6,65,JIND,HARYANA
499,6,66,KAITHAL,HARYANA
500,3,35,KAPURTHALA,PUNJAB
501,36,508,KARIMNAGAR,TELANGANA
502,6,67,KARNAL,HARYANA
503,10,201,KATIHAR,BIHAR
504,10,202,KHAGARIA,BIHAR
505,36,690,BHADRADRI KOTHAGUDEM,TELANGANA
506,2,19,KINNAUR,HIMACHAL PRADESH
507,14,260,UKHRUL,MANIPUR
508,13,248,PHEK,NAGALAND
509,10,203,KISHANGANJ,BIHAR
510,19,308,KOCH BIHAR,WEST BENGAL
511,27,480,KOLHAPUR,MAHARASHTRA
512,19,315,KOLKATA,WEST BENGAL
513,6,68,KURUKSHETRA,HARYANA
514,12,233,KURUNG KUMEY,ARUNACHAL PRADESH
515,2,21,LAHUL & SPITI,HIMACHAL PRADESH
516,10,204,LAKHISARAI,BIHAR
